NPUA80671,UP9000,,,UP9000-NPUA80671_00-DQ00000000000001,Medieval Moves: Deadmund's Quest
NPUA80676,UP9000,914f4f5b4df38eeab7afa8d64241e405,,UP9000-NPUA80676_00-ICO0000000000001,ICO™
NPUA80677,UP9000,1b7f986b112260e6b9245dfc3af541a5,,UP9000-NPUA80677_00-SOTC000000000001,Shadow of the Colossus™
NPUA80678,UP9000,UNLOCK/LICENSE BY DLC,,UP9000-NPUA80678_00-MOTORESCALED0000,MotorStorm RC
NPUA80694,UP9000,3A43037C10345C38E00CA20F2262C65A,,UP9000-NPUA80694_00-0DATURADATURADAT,Datura
NPUA80695,UP9000,534053f9f581ca7ed20f4e49287e0ffe,,UP9000-NPUA80695_00-RATCHET700000001,Ratchet & Clank: All 4 One™
NPUA80696,UP9000,8E99DE1DBA745F8F93B31F8E11EC040A,,UP9000-NPUA80696_00-GCARNIVALI000001,Carnival Island
NPUA80697,UP9000,BC959B334061F7E7C7C118608F7301BD,,UP9000-NPUA80697_00-UNCHARTED1PCKG01,Uncharted - Drake's Fortune
NPUA80698,UP9000,FC426F52C75B4D295C280D41F44F049C,,UP9000-NPUA80698_00-UNCHARTED2PCKG01,Uncharted 2 - Among Thieves - GotY
NPUA80706,UP9000,E372A93542AE34677DE1DE9ECB3A222E,,UP9000-NPUA80706_00-JAKANDDAXTER0001,Jak And Daxter - The Precursor Legacy HD
NPUA80707,UP9000,C78A36F932EDFB5556529A8E3B62CCC5,,UP9000-NPUA80707_00-JAKII00000000001,Jak 2
NPUA80708,UP9000,7F1255A6A1F7FBFF5BB9289C265889DB,,UP9000-NPUA80708_00-JAK3000000000001,Jak 3
NPUA80719,UP9000,19fe98a6022de34d16fa28657c574ccb,,UP9000-NPUA80719_00-RAIN000000000001,rain™
NPUA80747,UP9000,,,UP9000-NPUA80747_00-STARTTHEPSTW0001,Start the Party! Save the World
NPUA80754,UP9000,,,UP9000-NPUA80754_00-VIKINGSATTACK001,When Vikings Attack
NPUA80756,UP9000,,,UP9000-NPUA80756_00-SINGSTARPS3V0100,SingStar
NPUA80765,UP9000,C04A76798C9E03B636F9B0E119D858BA,,UP9000-NPUA80765_00-HSGOUTOFBOUNDS00,Hot Shots Golf - Out of Bounds Complete Collection
NPUA80783,UP9000,c6828484c260041dd9f50d46d4d30dd1,,UP9000-NPUA80783_00-HOHOKUMGAME00001,Hohokum™
NPUA80796,UP9000,f4834edcf02eaed68ed246db648838b1,,UP9000-NPUA80796_00-WORKSHOP1SORCERY,Sorcery™
NPUA80797,UP9000,17fbdbc054ce2343147596bf825a722d,,UP9000-NPUA80797_00-MALICIOUS0000001,Malicious™
NPUA80802,UP9000,eeecc4230cb5146843eafd88bbd1e357,,UP9000-NPUA80802_00-SC20000000003126,Sports Champions 2™
NPUA80811,UP9000,,,UP9000-NPUA80811_00-STARHAWKMPPKG001,Starhawk Multiplayer
NPUA80812,UP9000,DDF728EC8CD25D72B3A888E1CC541E15,,UP9000-NPUA80812_00-STARHAWKSPPKG001,Starhawk Solo Campaign
NPUA80823,UP9000,UNLOCK/LICENSE BY DLC,,UP9000-NPUA80823_00-UMOVEFITNE000001,PlayStationMove Fitness
NPUA80848,UP9000,c433e591cfd798a94e35fafb132644c5,,UP9000-NPUA80848_00-UFGLBPKARTING001,LittleBigPlanet Karting
NPUA80853,UP9000,,,UP9000-NPUA80853_00-DANCESTRPS3V0100,Everybody Dance Digital
NPUA80856,UP9000,7CD8B5FFEC1A0E42279244906DB6DAC6,,UP9000-NPUA80856_00-GKILLZONE1000001,Killzone HD
NPUA80858,UP9000,,,UP9000-NPUA80858_00-UNCHARTED3FREEMP,Uncharted 3 Multiplayer Free to Play
NPUA80864,UP9000,5D1A9FE911F0E4ADECA5D3DEF3D8F698,,UP9000-NPUA80864_00-0000111122223333,Hot Shots Golf - World Invitational
NPUA80870,UP9000,6143d7d216d416e31654b43c4ac43078,,UP9000-NPUA80870_00-COUNTERSPYPS3000,CounterSpy™
NPUA80875,UP9000,36bf3a688c9ccc0a4ba2b04f01a1b1ed,,UP9000-NPUA80875_00-SLYCOOPERPSN0000,Sly Cooper®: Thieves in Time
NPUA80882,UP9000,,,UP9000-NPUA80882_00-UBENTLEYSH000001,Bentley's Hackpack Trial Version
